Poste,Date de Soumission,État,Lien,Date de réponse,CV utilisé,Contact Email,Entreprise,Mois,Catégorie Poste
Data Analyst Junior,2025-06-02,Refus,https://www.linkedin.com/jobs/view/4240266731/?eBP=BUDGET_EXHAUSTED_JOB&refId=CfNpSN90ZizT8tjMvL13gQ%3D%3D&trackingId=CET9qYEYpEj%2F2XsvX1oMQA%3D%3D&trk=flagship3_jobs_discovery_jymbii,,CV1,,Winamax,6.0,Data Analyst
Gestionnaire Base de Données,2025-06-02,Refus,https://www.hellowork.com/fr-fr/emplois/66043085.html?_gl=1*idzpai*_up*MQ..*_gs*MQ..&gclid=CjwKCAjwl_XBBhAUEiwAWK2hzmCPaQW4Qt4bvruEiIEV-a6T72-U06GBQUM9oULEgQN7H4C9cBwzchoCU7QQAvD_BwE&gbraid=0AAAAADnF6J7Zi2552gR7O_iFfdCjoe86x,,CV1,,Saint-Gobain,6.0,Autre
Middle Office - Contrôle des Données de Marché,2025-06-02,Sans réponse,https://www.hellowork.com/fr-fr/emplois/66243547.html?_gl=1*idzpai*_up*MQ..*_gs*MQ..&gclid=CjwKCAjwl_XBBhAUEiwAWK2hzmCPaQW4Qt4bvruEiIEV-a6T72-U06GBQUM9oULEgQN7H4C9cBwzchoCU7QQAvD_BwE&gbraid=0AAAAADnF6J7Zi2552gR7O_iFfdCjoe86x#postuler,2025-07-02,CV1,,Grafton,6.0,Autre
GESTIONNAIRE BASE DE DONNÉES JUNIOR / DÉBUTANT,2025-06-02,Sans réponse,https://www.sinclairressources.com/offre-emploi/48400/gestionnaire-base-de-donnees-junior-debutant-h-f,2025-07-02,CV1,,Saint Claire Ressources,6.0,Autre
Gestionnaire Base de Donnees Produits,2025-06-02,Refus,https://www.hellowork.com/fr-fr/emplois/62267755.html?_gl=1*ih5ok*_up*MQ..*_gs*MQ..&gclid=CjwKCAjwl_XBBhAUEiwAWK2hzmCPaQW4Qt4bvruEiIEV-a6T72-U06GBQUM9oULEgQN7H4C9cBwzchoCU7QQAvD_BwE&gbraid=0AAAAADnF6J7Zi2552gR7O_iFfdCjoe86x#postuler,,CV1,,Alliance Automitve Group,6.0,Autre
Gestionnaire de données,2025-06-02,Sans réponse,https://recrutement.teract.com/Pages/Offre/detailoffre.aspx?idOffre=6868&idOrigine=&LCID=1036&offerReference=SDA-GDT-SL-6868,2025-07-02,CV1,,Teract,6.0,Autre
Sacem,2025-06-02,Sans réponse,https://sacem.profils.org/offre-de-emploi/emploi-chargee-charge-de-clientele-_2081.aspx,2025-07-02,CV1,,Chargé de clientèle,6.0,Autre
Data Scientist Junior,2025-06-18,Candidature envoyée,https://www.welcometothejungle.com/fr/companies/humans-matter/jobs/data-scientist-junior-h-f_paris?sp_ref=9644741d-e4eb-41db-bcb6-a41502c79da4&sp_src=job_alert_email&utm_medium=email&utm_source=job_alerts&utm_campaign=meilisearch,,CV1,,Humans Matters,6.0,Data Scientist
Data Analyst,2025-05-30,Sans réponse,https://www.welcometothejungle.com/fr/companies/wecasa/jobs/data-analyst-h-f-nb-cdi_paris?q=cff564f3c095413adcf133788396fd32&o=7e72d5b4-addd-4725-982b-685f1b4ed723,2025-06-29,CV1,,We Casa,5.0,Data Analyst
Stage - Data Science,2025-05-29,Sans réponse,https://www.hellowork.com/fr-fr/emplois/66162514.html,2025-06-28,CV1,,Groupe Bel,5.0,Autre
Junior Digital transformation Data Analyst,2025-05-29,Sans réponse,https://careers.accor.com/global/en/job/junior-digital-transformation-data-analyst-in-issy-les-moulineaux-france-jid-55806,2025-06-28,CV1,michelle.capel@accor.com,Accor,5.0,Data Analyst
BUSINESS & DATA ANALYST,2025-05-28,Refus,https://www.welcometothejungle.com/fr/companies/canal-group/jobs/cdi-business-data-analyst-f-h-x_issy-les-moulineaux_CG_g12OMjx,,CV1,,Canal+,5.0,Data Analyst
Data Analyste Marketing,2025-05-28,Refus,https://jobs.lever.co/cheerz/aa0fba0e-3143-4ee9-8bd6-2d488ad5eef8,,CV1,,Cheerz,5.0,Data Analyst
Data Analyst,2025-05-28,Sans réponse,https://sodexo-recrute.talent-soft.com/offre-de-emploi/emploi-data-analyst-h-f_44157.aspx#ancrecontenu,2025-06-27,CV1,,Sodexo,5.0,Data Analyst
Junior / Mid Product Manager,2025-05-28,Refus,https://carrier.wd5.myworkdayjobs.com/fr-FR/kgs_jobs/job/Junior---Mid-Product-Manager---Digital-Solutions_30182435,,CV1,,Kidde,5.0,Autre
Business Analyst,2025-05-28,Sans réponse,https://www.linkedin.com/jobs/view/4236203353/?eBP=CwEAAAGXFhY2s3SNS4BBCVIhbbvwi4m2bVfeioMhBRV-iHOsayRdu1WFgOX560xXiwaW9moK7i6YuTQ5wRhhLMpC5T-mvG6FJ5J0QKNbTWdU2yds6lZapAPWHKZAKTioW6DJ1tlUrYEsAgrz4Qju9ksuAqyPgwvzcYgOrlByqj7uCAoaXvrpdpiBXwMdFi_e9X6qqQQ0ohjEe6gB6OTxWfj1mzEszSb_ozY4-3a-8JgT2uPlOkDXjF31qviAuxRKpo15jR5TiuOGCV0keAU8QVpR-dP0K5ww7VwbQRadxcwgQXCya7lDFObl9QrarrF_y7FUnjhbey0YmeB29RdNf0mw1R6aPYqTOcLWrlnF3O6YtOZ27GgmHUQgiCjBM5djaMlG02AuJtsogIrzJrHlmDvY7ZoNxor6KEgZlxa6SFuXmZXFrR35m0hhHASLyBmR_kBSV9OEwsqykTz6s6sHQu2WfTd9EX9vAAQ3lnE3_-7RlxqSRD7WBitq_nn3OW00oTA5M7IHqwomtCzrOkegSKhq&refId=TcP3Y%2FMr%2B%2Frx9fImZk%2Ft1Q%3D%3D&trackingId=a02zsvaCmWbxXyx4rwZtVw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-27,CV1,,Petit Bateau,5.0,Data Analyst
Assistant BI,2025-05-28,Sans réponse,https://www.linkedin.com/jobs/view/4235674791/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=TcP3Y%2FMr%2B%2Frx9fImZk%2Ft1Q%3D%3D&trackingId=3VbBq2G7wmTsKqDmqkLa4Q%3D%3D&trk=flagship3_search_srp_jobs,2025-06-27,CV1,,Marvesting,5.0,Autre
Data Scientist,2025-05-28,Refus,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/176553618W?xtor=AL-5110-[partenaire]-[regionsjob],,CV1,,EFOR PARIS,5.0,Data Scientist
Ingénieur.e data et tech - Stage,2025-05-28,Sans réponse,https://jobs.makesense.org/fr/jobs/willy-anti-gaspi-ingenieure-data-et-tech-stage-8twJu109SnxVxNnZugmP?source=search,2025-06-27,CV1,,Willy Anti Gaspi,5.0,Autre
Data Analyst,2025-05-27,Sans réponse,https://recrutement.savills.fr/fr/annonce/3611949-cdi-data-analyst-real-estate-valuation-hf-75017-paris,2025-06-26,CV1,,Savills,5.0,Data Analyst
Data Analyst,2025-05-27,Sans réponse,https://www.linkedin.com/jobs/view/4235876712/?eBP=CwEAAAGXEcrIzLF6M9x8oBOz_HF4Edv-zGCleuQypIm0J5tGrDkmp7hdPjaYRj1qrZun8_FcCkde_qfPuOQCBz1RYLEF9MQlPz2-aUywwaZp6TF6JFDK7m45a2QV0wOIic8LPLtr_j2GKjVKuPmMAqEruzX84kDM-ufc_N8KQXZa8VKsbCBDrQWE3WE3KCy0iSsGDT60B1C2FdRemW6EbQLng0_ViL8o5JyIHkv4jd8uGlABgQdfEvg3ugHbFHpCAV7GythDEcKcj8DodJQikynt8h9vUjpjZ0otMMACE2GogZ9te9FFLLHgQ0fvkmGe5N0C3iwJ4p0OmkHY1UUqNSTjAk1YqZAhfh8EnDeuGar5OlUxAzky8KR0VpKYEYEfl2XupGJ5FF01CPhdbaNRK1ZC2eFm3IND8hODNbudRc8UC3iAlXW493ULO1LCzgTif5URmSOkkSjipzc1wNj4nLTBE5Jaade9EUHsFyui_rkDFXuvF8cHXD7L-04-roLUI5sKTOBNEKrSrw&refId=gDIRSzyx81f7YWqLYu4kdQ%3D%3D&trackingId=8HTzAeWBhAy1WV2XPJvBXw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-26,CV1,,Lucca,5.0,Data Analyst
Data Analyst Junior,2025-05-27,Refus,https://lesjeudis.com/jobs/data-or-big-data-jobs/191831?siteid=lesjeudis&utm_source=linkedin&utm_medium=job_slots_linkedin&utm_campaign=fr_feeda41,,CV1,,Veolia,5.0,Data Analyst
Data Analyst,2025-05-26,Refus,https://www.welcometothejungle.com/fr/companies/tripica/jobs/business-analyst-1-an-d-exp-minimum-paris-42k-56k-brut-h-f_paris?q=f47016de64c9dfb9b8ad507d7aa91307&o=73f0d763-4176-4c53-95c3-f4a685af84dd,,CV1,,Tripica,5.0,Data Analyst
Data Analyst,2025-05-26,Sans réponse,https://www.welcometothejungle.com/fr/companies/greenyellow/jobs/data-analyst-h-f_puteaux?sp_ref=9644741d-e4eb-41db-bcb6-a41502c79da4&sp_src=job_alert_email&utm_medium=email&utm_source=job_alerts&utm_campaign=meilisearch,2025-06-25,CV1,,GreenYellow,5.0,Data Analyst
Stage data Analytics Engineer,2025-05-26,Sans réponse,https://www.linkedin.com/jobs/view/4237917662/?refId=1e06d2a7-31d5-4444-817a-4d9ff07ec72e&trackingId=wTV%2B0JFtS2uNtFZyCKcd1w%3D%3D,2025-06-25,CV1,,The Bradery,5.0,Analytics Engineer
Chef de projet clients,2025-05-24,Refus,https://www.welcometothejungle.com/fr/companies/opendatasoft/jobs/chef-de-projet-clients-h-f?q=bb4cbb646977d2153dca56212ac0221b&o=507005af-1135-4351-8d34-c8e60d4ff3e1,,CV1,,Opendatasoft,5.0,Autre
Analytics Engineer,2025-05-24,Refus,https://www.welcometothejungle.com/fr/companies/alltricks/jobs/data-analyst-scientist-h-f_montigny-le-bretonneux?q=d6e7a4abff7577a9a1b124c07420a519&o=0ad464c4-ac7b-4748-9921-5622e672a6f8,,CV1,,All Tricks,5.0,Analytics Engineer
Data Analyst,2025-05-24,Refus,https://www.welcometothejungle.com/fr/companies/onepark/jobs/data-analyst-crm-f-h?q=4ba2b332a47c5aa01314ea4a97fe3cd1&o=2a67eedd-23d7-44ba-809c-0e332962fdbb,,CV1,,One Park,5.0,Data Analyst
Business Analyst,2025-05-24,Sans réponse,https://www.welcometothejungle.com/fr/companies/daveo/jobs/business-analyst-h-f_paris?q=4ba2b332a47c5aa01314ea4a97fe3cd1&o=84df9cde-1b33-4bd1-aca7-e5c30386f9c0,2025-06-23,CV1,,Daveo,5.0,Data Analyst
Chef de projet Emailing / CRM Manager - CDI - Paris,2025-05-24,Sans réponse,https://www.welcometothejungle.com/fr/companies/datashake/jobs/chef-de-projet-emailing-cdi-paris_paris?q=4ba2b332a47c5aa01314ea4a97fe3cd1&o=565d86b4-33a6-46a8-abe2-c70cdfa8a429,2025-06-23,CV1,,Datashake,5.0,Autre
Data Product Manager,2025-05-24,Refus,https://www.welcometothejungle.com/fr/companies/stockly/jobs/tech-product-owner-cdi-paris-2_paris?sp_ref=9644741d-e4eb-41db-bcb6-a41502c79da4&sp_src=job_alert_email&utm_medium=email&utm_source=job_alerts&utm_campaign=meilisearch,,CV1,,Stockly,5.0,Autre
Consultant junior Data & Analytics,2025-05-23,Sans réponse,https://fr.indeed.com/viewjob?jk=bfd17109198ee749&tk=1iruv93o3ksb4886&from=serp&vjs=3,2025-06-22,CV1,,Bearing Point France,5.0,Autre
Data Analyst,2025-05-23,Refus,https://fr.indeed.com/viewjob?jk=0407b056f2bbb296&tk=1iruupafql10g82a&from=serp&vjs=3,,CV1,,Jacadi,5.0,Data Analyst
Consultant Débutant Data Analyst,2025-05-23,Refus,https://fr.indeed.com/viewjob?jk=238a1448f5041ad7&tk=1iruuo6dvh33a884&from=serp&vjs=3,,CV1,,EY,5.0,Data Analyst
Consultant(e) Junior Data & IA,2025-05-23,Sans réponse,https://fr.indeed.com/viewjob?jk=7b8ec3359d4df601&tk=1iruuo6dvh33a884&from=serp&vjs=3,2025-06-22,CV1,,Adameo Consulting,5.0,Autre
Air & Ocean Data Analyst,2025-05-23,Sans réponse,https://fr.indeed.com/viewjob?jk=cb27ed04c6605982&tk=1iruuo6dvh33a884&from=serp&vjs=3,2025-06-22,CV1,,Ceva Logistics,5.0,Data Analyst
Gestionnaire de données techniques,2025-05-23,Sans réponse,https://fr.indeed.com/viewjob?jk=beb6bb43e9ed6f03&tk=1iruuleudjtj781p&from=serp&vjs=3,2025-06-22,CV1,,Scientech Interim,5.0,Autre
BUSINESS ANALYST MARKET DATA,2025-05-23,Sans réponse,https://www.clemajob.fr/fr/emploi/10953-emploi-Paris-BUSINESS-ANALYST-MARKET-DATA--H-F,2025-06-22,CV1,j.ouahba@parteck.net,Parteck,5.0,Data Analyst
Consultant(e) technico-fonctionnel,2025-05-22,Refus,https://www.linkedin.com/jobs/view/4233032518/?eBP=CwEAAAGW-GUEkkoZvGx1yPZcpEWYMtDP3ndNxAPL4kIQXAmUgC7ny2dJMjT-jpjBDIWTWMcbRJ1EpkGVLvIbnZG-fcwO3BLxvZ3LgpEiWH69iHy9hsSpidyeAZ-y7oPYcfzr960i1xJnH4Vp9d0F8c5YluISowUqtzwgzp8lOV3nIHGaTgBmBheDJWanuGRRTgRvS4o4g3uir7y_ehOD0DEi5fXRqPt1FWbJjI83aHwab9LlW52y3YDh2Qsmt_w7m6JejPBxGG9MRtD8in7QTxfhlKecC9Mp-6GQcg6dhaVpaI7avy3NBRlA7xt-IYD2RjtfhM62MwgzS0t-9iB8X9mnYLfKdi6JFQ7BCZ3tlUrAfvuc2RgRK5iEI7UWKdW5nzJl9sbM0lZjccgfHcFeUjZb-5QaqHpgB-amHWjXsQvNbr92pgBzv6YjMobwyScWJp3I9hO3eB5ECYwlgVpS8d--ZtWJKaEZP6cTcmHKN7N7kyfzDaqDkol8OfaK_wY3GOQr7Cq1-qSDbhuBeek&refId=Cqtz0ssdYVlc4K%2BO%2B50kOw%3D%3D&trackingId=JNwdo%2FrtznVGUJfWoc86Gg%3D%3D&trk=flagship3_search_srp_jobs,,CV1,,Clémentine,5.0,Autre
Junior Solution Architect,2025-05-22,Refus,https://redhat.wd5.myworkdayjobs.com/fr-CA/jobs/job/Puteaux/Junior-Solution-Architect--Puteaux--France-_R-047854-1?%2526%253Fmode=job&%2526iis=Job%252BBoard&%2526iisn=LinkedIn%252BPosting&source=LinkedIn,,CV1,,Red Hat,5.0,Autre
Analytics Engineer,2025-05-22,Refus,https://jobs.lever.co/veepee/754482d1-9783-43bb-bf38-0bdd54b6ae6a,,CV1,,Veepee,5.0,Analytics Engineer
Analyste fonctionnel / Business analyst,2025-05-22,Refus,https://www.linkedin.com/jobs/view/4204727515/?eBP=CwEAAAGW-FtiYFSF45-IzFiJdu09SduPp56n0kYF8tnbNowsMJ3-HEvcUSefqvCW13Vm2HMUV9FDRCQ6EVnbqVrIL9pWfJAiwBMiFdQBicaUD-jeM3y5vHPACqMajKatRgTr_TEqrtVyYcpA6ByRDCotIy7dKeAHQLlKFWVNEpbKRXnN3F2v9-R7j-5MBo5JWAtmja8gFPDPCfxg3J3xbAIJ55YGxmITaVIKZqzork-KRW_lm_QADSTBYzD4SlZBxJVyaPdN4aWmtLp3XkNFKQMmaK4_9ddye0rfWz2EnP4HgnYgRTX0cHzmvnL7p8pFwtSiP_objiZmUc7LT0mmGFKC2yjkXE8cmmdHoQpccdqUe7Oe0Dv8HRH6FzPmEI8NPPHiPGbscflZpMcNUP-bYUDZetEICef1Jss2slKddAvPQ-TT9NohdZKGaNppwRAquwZiqOROXH8UZ4Yv2FxTAHzTiQY-blvQb-eYJXHmgN9lHisLOE5loeAkXhz90IOIMB3lloke&refId=XzFhRHK%2FgjRIk1YkkgsdFQ%3D%3D&trackingId=K4UFVhL78E6%2F1Pyb%2B3Z%2FSg%3D%3D&trk=flagship3_search_srp_jobs,,CV1,,Smile,5.0,Data Analyst
Chef de projet data [Retail-Luxe],2025-05-22,Refus,https://www.linkedin.com/jobs/view/4235369176/?eBP=CwEAAAGW-FtiYEYh6MCngbbpVgRGs6oRvJpOV9gixyMdYhMRddYfN4pYEBgxm5USNDzoRYFrNTQHwkxtuK_ea0kCk1I6G27FvSKyIo_49AmdHqxB7Ir8zM0WtlHBSv6jfRk1-IM1WPG7BECEM37yd_huBJFMzIaMri3_O8OMLG6kNVQ_DUzZEv7o5D_WaHoVlPkA0xcjfCGJEiGCaaCyE5a0ABpYfDjwl0NY9Hw7HbP7usOo3SsYZyrT4Oj-tZZCM2np5txMxX4czPbbf92isCye6LL_EsLTE7vQS5wtMgyB75T9bs6davzxAPVCRW8sorZQlIXWitzGhwcatt18urlXRh6DmtrJdTV09UYez3ZiBbIQrm_k6S-dZDDe3sFqdsokCcRDF_bRi9UvkuZBw8ed0e7znVqMIZShgx3d3WwoRCTiC5SBgx-xjSKDhcdIlDetP7rUNabAfhAznTC1zxOYRCSXLuHXx1qCdg22_GDxwPrZcwrxCUaBfjjNFOTjJHvoRoavW5LPuQ&refId=XzFhRHK%2FgjRIk1YkkgsdFQ%3D%3D&trackingId=LzSpJfQto0UnnB1AGlX8pw%3D%3D&trk=flagship3_search_srp_jobs,,CV1,,Adone,5.0,Autre
Data Engineering - 6 months Internship,2025-05-22,Refus,https://www.linkedin.com/jobs/view/4234877104/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=XzFhRHK%2FgjRIk1YkkgsdFQ%3D%3D&trackingId=ybMBRXvyHi1zML6bC7%2FigA%3D%3D&trk=flagship3_search_srp_jobs,,CV1,,Deezer,5.0,Data Engineer
Data Analyst,2025-05-22,Sans réponse,https://www.linkedin.com/jobs/view/4234750355/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=XzFhRHK%2FgjRIk1YkkgsdFQ%3D%3D&trackingId=ix8x868Ix85NFLWgHHw%2Blw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-21,CV1,,Veepee,5.0,Data Analyst
Ingénieur DATA,2025-05-22,Sans réponse,https://www.linkedin.com/jobs/view/4231475222/?trackingId=PbG2CnGq9Wiuxt70K7mzPQ%3D%3D&refId=ByteString(length%3D16%2Cbytes%3D95ab8da2...6380568b)&midToken=AQF6cDKQRpkL-Q&midSig=27DdqfaldTwXM1&trk=eml-email_job_alert_digest_01-job_card-0-jobcard_body&trkEmail=eml-email_job_alert_digest_01-job_card-0-jobcard_body-null-5mjdi4~maz1jp8p~rj-null-null&eid=5mjdi4-maz1jp8p-rj&otpToken=MTEwMTFlZTExYTI4Y2FjZGIyMjQwNGVkNDIxOWVmYmQ4N2NkZDU0ODk5YWQ4ODYxNzhjZTA4Njg0ZjU5NWFmNmY0ZGY5Mjg3NGZiNWU4ZmE3NGZhYzYzMTdjOTM1OTY5MWJmYjVmYTBmNjg1Mzk0OWEzMWQsMSwx,2025-06-21,CV1,,Departement du Val d’Oise,5.0,Data Engineer
Data Scientist Assistant - Stage,2025-05-21,Refus,https://www.hellowork.com/fr-fr/emplois/65773689.html,,CV1,,Ubisoft,5.0,Data Scientist
Ingenieur BI,2025-05-21,Sans réponse,https://www.lagardere.com/nous-rejoindre/nos-offres/ingenieur-bi-cdi-hf-2025-9286-lagardere-travel-retail-france-it-systemes-d-information-digital/,2025-06-20,CV1,,Lagardère,5.0,Autre
Data Analyst & Product Owner,2025-05-20,Sans réponse,https://jobs.makesense.org/fr/jobs/carbone-farmers-stage-data-analyst-et-product-owner-eOXFzYcXHqgIWhrGD5FD?source=search,2025-06-19,CV1,,Carbon Farmers,5.0,Data Analyst
Analyste de données et d'affaires,2025-05-20,Sans réponse,https://jobs.makesense.org/fr/jobs/hello-watt-data-et-business-analyst-stage-STcNc8wUqeRmaIU1Bboo?source=search,2025-06-19,CV1,,Hello Watt,5.0,Data Analyst
Data Analyst,2025-05-20,Sans réponse,https://www.welcometothejungle.com/fr/companies/leasecom/jobs/data-analyst-h-f_paris_LEASE_8eGx11x?sp_ref=9644741d-e4eb-41db-bcb6-a41502c79da4&sp_src=job_alert_email&utm_campaign=meilisearch&utm_medium=email&utm_source=job_alerts,2025-06-19,CV1,,Leasecom,5.0,Data Analyst
Analytics Engineer,2025-05-19,Refus,https://jobs.foodles.co/jobs/5531942-analytics-engineer-f-h,,CV1,,Foodles,5.0,Analytics Engineer
Analytics Engineer,2025-05-16,Refus,https://www.welcometothejungle.com/fr/companies/tiime/jobs/analytics-engineer-cdi-f-h_TIIME_yRKMA79,,CV1,,Tiime,5.0,Analytics Engineer
Consultant Data / IA,2025-05-16,Refus,https://www.welcometothejungle.com/fr/companies/mc2i/jobs/consultant-data-ia-h-f_paris?q=2ce225b43dfa22a02ed24230c6ab2060&o=843f7947-e7cd-4d73-9e8e-259acf05171a,,CV1,,MC2I,5.0,Consultant Data
Analytics Engineer/Data Analyst,2025-05-16,Refus,https://www.welcometothejungle.com/fr/companies/emeria/jobs/cdi-analytics-engineer-data-analyst_paris?q=2ce225b43dfa22a02ed24230c6ab2060&o=9599f8c3-58dd-4469-a697-03b9043abfd5,,CV1,,Emeria,5.0,Analytics Engineer
Consultant Data,2025-05-16,Sans réponse,https://www.welcometothejungle.com/fr/companies/oresys/jobs/consultant-data_paris?q=2ce225b43dfa22a02ed24230c6ab2060&o=90b38f1e-0bcb-4967-a56a-ccacf40c97a0,2025-06-15,CV1,,Oresys,5.0,Consultant Data
Data Product Manager,2025-05-16,Refus,https://www.welcometothejungle.com/fr/companies/hubvisory/jobs/data-product-manager-f-h_saint-vincent-de-tyrosse,,CV1,,Hubvisory,5.0,Autre
Data Analyst Environnement,2025-05-16,Sans réponse,https://www.welcometothejungle.com/fr/companies/inex-circular/jobs/data-analyst-environnement-stage-4-mois-minimum_paris?q=f08e2eb578f09a901b0c3dc6644f1536&o=f70224c0-d1e1-4110-bb2a-a18bc98d3d16,2025-06-15,CV1,,Inex Circular,5.0,Data Analyst
Data Scientist CDD,2025-05-16,Sans réponse,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/176459333W?xtor=AL-5110-[partenaire]-[regionsjob],2025-06-15,CV1,,Helkinz,5.0,Data Scientist
Data Engineer,2025-05-15,Sans réponse,https://www.linkedin.com/jobs/view/4229810528/?refId=75954a76-069b-4b0e-a2db-18f3d3258c23&trackingId=bYlM%2FAzMRum9dgOQzTET9Q%3D%3D,2025-06-14,CV1,,Groupe Karavel,5.0,Data Engineer
Business Analyst Data,2025-05-14,Sans réponse,https://www.welcometothejungle.com/fr/companies/apside/jobs/business-analyst-data-h-f_boulogne-billancourt?sp_ref=9644741d-e4eb-41db-bcb6-a41502c79da4&sp_src=job_alert_email&utm_campaign=meilisearch&utm_medium=email&utm_source=job_alerts,2025-06-13,CV1,,Apside,5.0,Data Analyst
Data Assistant,2025-05-14,Sans réponse,https://jobs.makesense.org/fr/jobs/hulo-data-assistante-hf-france-montreuil-LX4169Z7KspsHmW8SSVe?source=search,2025-06-13,CV1,,Hulo,5.0,Autre
Stagiaire Data,2025-05-14,Sans réponse,https://jobs.makesense.org/fr/jobs/simplonco-stagiaire-data-pfe-ZOLO4P0JOttSBQS3SwKg?source=search,2025-06-13,CV1,,Simplon,5.0,Autre
Data Analyst / Scientist,2025-05-14,Refus,https://jobs.makesense.org/fr/jobs/holis-data-analyst-scientist-startup-a-impact-sE1y6LvP3PUIzW237u6H,,CV1,,Holis,5.0,Data Analyst
Ingénieur.e Machine Learning & Data Platform,2025-05-14,Refus,https://jobs.makesense.org/fr/jobs/article-1-ingenieure-machine-learning-et-data-platform-cdi-paris-hf-WpYpy4G1OutLAzS6vdCo?source=search,,CV1,,Article 1,5.0,Data Scientist
Data analyst,2025-05-14,Sans réponse,https://jobs.makesense.org/fr/jobs/amnesty-international-france-data-analyst-wjRtxvGPdEit3yg52pPN?source=search,2025-06-13,CV1,,Amnesty International,5.0,Data Analyst
Product Owner / Product Manager Junior,2025-05-14,Sans réponse,https://jobs.makesense.org/fr/jobs/crushon-product-owner-product-manager-junior-rejoins-nous-pour-batir-les-outils-tech-de-la-mode-circulaire-europeenne-EDnBdQbp7U9srmpXOZIp?source=search,2025-06-13,CV1,maxime@crushonapp.com,CrushON,5.0,Autre
DATA SCIENTIST/PROJECT MANAGER H/F - CDD DE 8 MOIS,2025-05-13,Refus,https://bwelcome.hr.bnpparibas/fr_FR/externalcareers/JobDetails?jobId=47612&source=BNP+Paribas+website&src=source%3DHellowork&source=Hellowork,,CV1,,BNP Paribas,5.0,Data Scientist
Data Analyst,2025-05-13,Sans réponse,https://www.linkedin.com/jobs/view/4225878615/?trackingId=huxaaDp%2BSSKAR66NjyqHQg%3D%3D&refId=R7Fc9j6UR%2BOAwl6bLcALJQ%3D%3D&midToken=AQF6cDKQRpkL-Q&midSig=1Rgz2dHQl1krM1&trk=eml-email_application_confirmation_with_nba_01-jymbii-0-jobcard_body&trkEmail=eml-email_application_confirmation_with_nba_01-jymbii-0-jobcard_body-null-5mjdi4~mamadj3l~rm-null-null&eid=5mjdi4-mamadj3l-rm&otpToken=MTEwMTFlZTExYTI4Y2FjZGIyMjQwNGVkNDIxOWU2YjY4OGNmZDE0NzkwYTk4ZTYxNzhjZTA4Njg0ZjU5NWFmNmY0ZGZiYzhiNzhlZmRkZGY2MTg1ZDU4MTk4NzUyYWVjMzk2OWU3OGEwZGE5YzAwNmI4MmUsMSwx,2025-06-12,CV1,,Audiens,5.0,Data Analyst
Analytics Engineer,2025-05-09,Sans réponse,https://www.linkedin.com/jobs/view/4209899524/?trackingId=%2FhEo%2BFZZ2hT%2B%2BM733qqhVw%3D%3D&refId=ByteString(length%3D16%2Cbytes%3D7f6d90de...aeb7f56c)&midToken=AQF6cDKQRpkL-Q&midSig=2vxGWezHswdHM1&trk=eml-email_job_alert_digest_01-job_card-0-jobcard_body&trkEmail=eml-email_job_alert_digest_01-job_card-0-jobcard_body-null-5mjdi4~mafe8qg4~1j-null-null&eid=5mjdi4-mafe8qg4-1j&otpToken=MTEwMTFlZTExYTI4Y2FjZGIyMjQwNGVkNDIxOGUwYjU4ZmNhZDM0MzlmYWM4YTYxNzhjZTA4Njg0ZjU5NWFmNmY0ZGZiZjg0NTVkMmZkZjQ0MDhiOGYwYTZkZDc4YzQ4OGY0NWRkNmQyMzE1NTFlNjY2NDcsMSwx,2025-06-08,CV1,,Keyrus,5.0,Analytics Engineer
Data Engineer Junior,2025-05-09,Sans réponse,https://www.linkedin.com/jobs/view/4222069304/?trackingId=RMu3sO16RR2hYwY8YJ3KCg%3D%3D&refId=WkwDJ%2BH%2BQ8u8uvFrqW%2FimA%3D%3D&midToken=AQF6cDKQRpkL-Q&midSig=1JIYHwXKkHcrM1&trk=eml-email_application_confirmation_with_nba_01-jymbii-0-jobcard_body&trkEmail=eml-email_application_confirmation_with_nba_01-jymbii-0-jobcard_body-null-5mjdi4~mae4y5fr~et-null-null&eid=5mjdi4-mae4y5fr-et&otpToken=MTEwMTFlZTExYTI4Y2FjZGIyMjQwNGVkNDIxOGUxYjc4YmNjZDc0Mzk5YTg4ZDYxNzhjZTA4Njg0ZjU5NWFmNmY0ZGY4OWUwMWJmM2ZjYzk2MmFmODE1YjYyYzY1M2Q4YTI3ODlkY2I4ZjM0ZjAyMjdiYjYsMSwx,2025-06-08,CV1,,Sevetys,5.0,Data Engineer
